id,"name","code","fips"
1,"Alabama","AL","001"
2,"Alaska","AK","002"
3,"Arizona","AZ","004"
4,"Arkansas","AR","005"
5,"California","CA","006"
6,"Colorado","CO","008"
7,"Connecticut","CT","009"
8,"Delaware","DE","010"
9,"District of Columbia","DC","011"
10,"Florida","FL","012"
11,"Georgia","GA","013"
12,"Hawaii","HI","015"
13,"Idaho","ID","016"
14,"Illinois","IL","017"
15,"Indiana","IN","018"
16,"Iowa","IA","019"
17,"Kansas","KS","020"
18,"Kentucky","KY","021"
19,"Louisiana","LA","022"
20,"Maine","ME","023"
21,"Montana","MT","030"
22,"Nebraska","NE","031"
23,"Nevada","NV","032"
24,"New Hampshire","NH","033"
25,"New Jersey","NJ","034"
26,"New Mexico","NM","035"
27,"New York","NY","036"
28,"North Carolina","NC","037"
29,"North Dakota","ND","038"
30,"Ohio","OH","039"
31,"Oklahoma","OK","040"
32,"Oregon","OR","041"
33,"Maryland","MD","024"
34,"Massachusetts","MA","025"
35,"Michigan","MI","026"
36,"Minnesota","MN","027"
37,"Mississippi","MS","028"
38,"Missouri","MO","029"
39,"Pennsylvania","PA","042"
40,"Rhode Island","RI","044"
41,"South Carolina","SC","045"
42,"South Dakota","SD","046"
43,"Tennessee","TN","047"
44,"Texas","TX","048"
45,"Utah","UT","049"
46,"Vermont","VT","050"
47,"Virginia","VA","051"
48,"Washington","WA","053"
49,"West Virginia","WV","054"
50,"Wisconsin","WI","055"
51,"Wyoming","WY","056"
52,"Puerto Rico","PR","072"
